rank,verbatim_factor,total_refs,transcripts,cross_case_factor,confidence,rationale
6593,waste assimilation capacity,1,1,Service Performance,low,token-overlap fallback (7)
6594,waste box overflow,1,1,Service Performance,low,token-overlap fallback (6)
6595,waste burning,1,1,Service Performance,low,token-overlap fallback (6)
6596,waste classification,1,1,Service Performance,low,token-overlap fallback (6)
6597,waste collecting containers,1,1,Service Performance,high,matched 'waste collect'
6598,waste collecting containers on streets,1,1,Service Performance,high,matched 'waste collect'
6599,waste collection and disposal service,1,1,Service Performance,high,matched 'waste collect'
6600,waste collection and management activities,1,1,Service Performance,high,matched 'waste collect'
6601,waste collection and separation jobs,1,1,Service Performance,high,matched 'waste collect'
6602,waste collection and sorting,1,1,Service Performance,high,matched 'waste collect'
6603,waste collection and transportation mechanism,1,1,Service Performance,high,'waste collect' over 'transport'
6604,waste collection bags,1,1,Service Performance,high,matched 'waste collect'
6605,waste collection bins availability,1,1,Service Performance,high,matched 'waste collect'
6606,waste collection coverage,1,1,Service Performance,high,matched 'waste collect'
6607,waste collection from service sectors,1,1,Service Performance,high,matched 'waste collect'
6608,waste collection service expansion,1,1,Service Performance,high,'waste collection service' over 'expansion'
6609,waste collection service financing,1,1,Service Performance,high,'waste collection service' over 'financing'
6610,waste collection service in all areas,1,1,Service Performance,high,matched 'waste collection service'
6611,waste collection vehicles and drivers,1,1,Service Performance,high,'waste collect' over 'vehicle'
6612,waste collection without designated disposal sites,1,1,Service Performance,low,'waste collect' over 'disposal site'
6613,waste collector awareness,1,1,Service Performance,high,'waste collect' over 'awareness'
6614,waste compost preparation,1,1,Service Performance,low,token-overlap fallback (6)
6615,waste contamination,1,1,Community / Users,high,matched 'contaminat'
6616,waste contamination source identification,1,1,Community / Users,high,matched 'contaminat'
6617,waste disposal and management activities,1,1,Community / Users,low,token-overlap fallback (11)
6618,waste disposal and management practices,1,1,Community / Users,low,token-overlap fallback (11)
6619,waste disposal area,1,1,Community / Users,low,token-overlap fallback (11)
6620,waste disposal behavior,1,1,Community / Users,high,matched 'waste disposal behavior'
6621,waste disposal cost,1,1,Community / Users,low,token-overlap fallback (11)
6622,waste disposal demand,1,1,Community / Users,high,matched 'demand'
6623,waste disposal education,1,1,Community / Users,high,matched 'education'
6624,waste disposal facilities,1,1,Infrastructure,high,matched 'facilities'
6625,waste disposal fee collection efficiency,1,1,Community Finance,high,matched 'fee collection'
6626,waste disposal fees,1,1,Community / Users,low,token-overlap fallback (11)
6627,waste disposal implementation,1,1,Infrastructure,high,matched 'implementation'
6628,waste disposal in residential areas,1,1,Community / Users,high,matched 'resident'
6629,waste disposal infrastructure utilization,1,1,Infrastructure,high,matched 'infrastructure'
6630,waste disposal land demand,1,1,Community / Users,high,matched 'demand'
6631,waste disposal laws and enforcement,1,1,Laws + Regulations,high,matched 'enforcement'
6632,waste disposal management,1,1,Community / Users,low,token-overlap fallback (11)
6633,waste disposal on farmers land,1,1,Community / Users,high,matched 'farmer'
6634,waste disposal options for community,1,1,Community / Users,high,matched 'community'
6635,waste disposal place development,1,1,Community / Users,low,token-overlap fallback (11)
6636,waste disposal practice improvement,1,1,Community / Users,high,matched 'waste disposal practice'
6637,waste disposal service continuity,1,1,Service Performance,high,matched 'service continu'
6638,waste disposal service provision,1,1,Service Performance,high,matched 'service provis'
6639,waste disposal site agreement,1,1,Infrastructure,high,matched 'disposal site'
6640,waste disposal site distance from town,1,1,Infrastructure,high,matched 'disposal site'
6641,waste disposal site establishment,1,1,Infrastructure,high,matched 'disposal site'
6642,waste disposal site functionality,1,1,Service Performance,low,'functionality' over 'disposal site'
6643,waste disposal site location,1,1,Infrastructure,high,matched 'disposal site'
6644,waste disposal site problem,1,1,Infrastructure,high,matched 'disposal site'
6645,waste disposal site project implementation,1,1,Infrastructure,high,matched 'project implementation'
6646,waste disposal site selection study,1,1,Infrastructure,low,'disposal site' over 'site selection'
6647,waste disposal solutions,1,1,Community / Users,low,token-overlap fallback (11)
6648,waste disposal to water points and rivers,1,1,Infrastructure,high,matched 'water point'
6649,waste disposal vehicle fleet,1,1,Infrastructure,high,matched 'vehicle'
6650,waste disposed in environment,1,1,Environmental,high,matched 'environment'
6651,waste dumping site,1,1,Infrastructure,high,matched 'dumping site'
6652,waste fee consolidation with water bill,1,1,Community Finance,high,matched 'water bill'
6653,waste generation,1,1,Service Performance,low,token-overlap fallback (6)
6654,waste littering,1,1,Community / Users,high,matched 'littering'
6655,waste management activities,1,1,Service Performance,high,matched 'waste management'
6656,waste management demonstration sites,1,1,Service Performance,high,matched 'waste management'
6657,waste management execution,1,1,Service Performance,high,matched 'waste management'
6658,waste management inputs,1,1,Service Performance,high,matched 'waste management'
6659,waste management practice,1,1,Service Performance,high,matched 'waste management'
6660,waste management problems,1,1,Service Performance,high,matched 'waste management'
6661,waste management regulations for new firms,1,1,Service Performance,high,'waste management' over 'regulation'
6662,waste management responsibility,1,1,Service Performance,high,matched 'waste management'
6663,waste management services,1,1,Service Performance,high,matched 'waste management'
6664,waste management sustainability,1,1,Service Performance,high,'waste management' over 'sustainab'
6665,waste management system,1,1,Service Performance,high,matched 'waste management'
6666,waste management system development,1,1,Service Performance,high,matched 'waste management'
6667,waste material dumping site,1,1,Infrastructure,high,matched 'dumping site'
6668,waste material transportation capacity,1,1,Infrastructure,high,matched 'transport'
6669,waste material transportation system,1,1,Infrastructure,high,matched 'transport'
6670,waste recycling,1,1,Service Performance,low,token-overlap fallback (6)
6671,waste recycling enterprise development,1,1,Private Sector,high,matched 'enterprise'
6672,waste recycling mechanism,1,1,Service Performance,low,token-overlap fallback (6)
6673,waste recycling process,1,1,Service Performance,low,token-overlap fallback (6)
6674,waste removal capacity,1,1,Service Performance,high,matched 'waste removal'
6675,waste reuse practices,1,1,Infrastructure,high,matched 'waste reuse'
6676,waste sorting,1,1,Service Performance,low,token-overlap fallback (6)
6677,waste sorting and disposal practices,1,1,Community / Users,low,token-overlap fallback (11)
6678,waste sorting behavior,1,1,Community / Users,high,matched 'behavior'
6679,waste sorting education,1,1,Community / Users,high,matched 'education'
6680,waste transport cost,1,1,Infrastructure,high,matched 'transport'
6681,waste transport service,1,1,Infrastructure,high,matched 'transport'
6682,waste transport vehicles,1,1,Infrastructure,high,matched 'transport'
6683,waste transport vehicles and containers,1,1,Infrastructure,high,matched 'transport'
6684,waste treatment mechanism,1,1,Infrastructure,high,matched 'waste treatment'
6685,waste treatment planning,1,1,Infrastructure,high,'waste treatment' over 'planning'
6686,waste volumes,1,1,Service Performance,low,token-overlap fallback (6)
6687,waste-contaminated play areas,1,1,Community / Users,high,matched 'contaminat'
6688,waste-to-energy conversion,1,1,Service Performance,low,token-overlap fallback (6)
6689,wastewater stagnation,1,1,Community / Users,low,no match — defaulted to Community / Users
6690,wastewater stagnation in ditches,1,1,Community / Users,low,no match — defaulted to Community / Users
6691,water ATM with MPESA paybill,1,1,Service Performance,low,token-overlap fallback (29)
6692,water abstraction regulation,1,1,Laws + Regulations,high,matched 'regulation'
6693,water access at public toilets,1,1,Service Performance,high,'water access' over 'toilet'
6694,water access at water points,1,1,Service Performance,medium,'water access' over 'water point'
6695,water access burden,1,1,Service Performance,high,matched 'water access'
6696,water access coverage,1,1,Service Performance,high,matched 'water access'
6697,water access for beneficiaries,1,1,Service Performance,high,matched 'water access'
6698,water access for distant users,1,1,Service Performance,high,'water access' over 'users'
6699,water access for new villages and industries,1,1,Service Performance,high,matched 'water access'
6700,water access for underserved neighborhoods,1,1,Service Performance,high,matched 'water access'
6701,water access in areas without road infrastructure,1,1,Infrastructure,medium,'infrastructure' over 'water access'
6702,water access in contaminated groundwater areas,1,1,Service Performance,medium,'water access' over 'groundwater'
6703,water access in high-altitude areas,1,1,Service Performance,high,matched 'water access'
6704,water access in institutions,1,1,Service Performance,high,matched 'water access'
6705,water access in remote areas,1,1,Service Performance,high,matched 'water access'
6706,water access in schools,1,1,Service Performance,high,'water access' over 'school'
6707,water access post-COVID,1,1,Service Performance,high,matched 'water access'
6708,water access reliability,1,1,Service Performance,high,matched 'water access'
6709,water access techniques,1,1,Service Performance,high,matched 'water access'
