factor,bucket,confidence,rationale,total_refs
road infrastructure,Infrastructure,high,matched 'infrastructure',1
road infrastructure problem,Infrastructure,high,matched 'infrastructure',1
road network improvement,Infrastructure,medium,matched 'road',1
road-trade waste management,Service Performance,high,'waste management' over 'road',1
role specialization,Community / Users,low,no match — defaulted to Community / Users,1
roof catchment campaigns,Environmental,high,matched 'catchment',1
roof catchment systems,Environmental,high,matched 'catchment',1
roof water catchment,Environmental,high,matched 'catchment',1
roof water harvesting,Environmental,high,matched 'water harvesting',1
roof-catchment schemes,Environmental,high,matched 'catchment',1
root cause identification,Community / Users,low,no match — defaulted to Community / Users,1
run-off water harvesting,Environmental,high,matched 'water harvesting',1
running cost,O&M,high,matched 'running cost',1
runoff,Community / Users,low,no match — defaulted to Community / Users,1
runoff and flooding,Environmental,high,matched 'flooding',1
rural WASH outcomes,Community Management,low,token-overlap fallback (2),1
rural WASH stakeholder coordination,Coordination,high,matched 'stakeholder',1
rural area contamination,Community / Users,high,matched 'contaminat',1
rural community discontent,Community / Users,high,matched 'community',1
rural community migration,Community / Users,high,matched 'community',1
rural community migration to river water areas,Community / Users,high,'community' over 'river',1
rural feeder road development,Infrastructure,medium,matched 'road',1
rural pipeline routing,Infrastructure,high,matched 'pipeline',1
rural scheme coverage,Service Performance,high,matched 'coverage',1
rural scheme maintenance,O&M,high,matched 'maintenance',1
rural scheme sustainability,Sustainability,high,matched 'scheme sustainability',1
rural system downtime,Service Performance,high,matched 'downtime',1
rural water access,Service Performance,high,matched 'water access',1
rural water funding,Govt / External Finance,high,matched 'funding',1
rural water problem resolution,Service Performance,low,token-overlap fallback (30),1
rural water scheme construction,Infrastructure,high,matched 'scheme construction',1
rural water scheme education,Community / Users,high,matched 'education',1
rural water scheme policy,Laws + Regulations,high,matched 'policy',1
rural water scheme sustainability,Sustainability,high,matched 'scheme sustainability',1
rural water sector data and information,Monitoring,medium,matched 'data',1
rural water service maintenance,Service Performance,high,'water service' over 'maintenance',1
rural water supply,Service Performance,high,matched 'water supply',1
rural workforce retention,Govt Management,high,matched 'workforce',1
rural-based skilled maintenance teams,O&M,high,matched 'maintenance',1
rural-to-urban migration,Community / Users,high,matched 'migration',1
rushed bidding and construction process,Infrastructure,high,matched 'construction',1
safe water access,Service Performance,high,matched 'water access',1
safe water use,Service Performance,high,matched 'safe water',1
safety plan implementation,Planning,high,'plan implementation' over 'implementation',1
safety tanker adoption,Community / Users,low,no match — defaulted to Community / Users,1
salary and emergency expenses,Govt Management,high,matched 'salary',1
salary levels at WSPs,Govt Management,high,matched 'salary',1
saline water quality,Service Performance,high,matched 'water quality',1
salinity problem,Environmental,high,matched 'salinity',1
salty groundwater,Environmental,high,matched 'groundwater',1
sand dam and sump well construction,Infrastructure,high,matched 'construction',1
sanitary landfill,Infrastructure,high,matched 'landfill',1
sanitary landfill implementation,Infrastructure,high,matched 'implementation',1
sanitary regulations and enforcement,Laws + Regulations,high,matched 'enforcement',1
sanitary supplies,Community / Users,low,no match — defaulted to Community / Users,1
sanitary water for hotels and restaurants,Service Performance,low,token-overlap fallback (29),1
sanitation,Service Performance,low,token-overlap fallback (10),1
sanitation activities,Service Performance,low,token-overlap fallback (10),1
sanitation advocacy,Service Performance,low,token-overlap fallback (10),1
sanitation and hygiene activities,Community / Users,high,matched 'sanitation and hygiene',1
sanitation and hygiene service provision,Community / Users,high,'sanitation and hygiene' over 'service provis',1
sanitation and hygiene services,Community / Users,high,matched 'sanitation and hygiene',1
sanitation and water service improvement,Service Performance,high,matched 'service improv',1
sanitation awareness among wereda office and community,Community / Users,high,matched 'awareness',1
sanitation awareness campaigns,Capacity Building,high,'awareness campaign' over 'awareness',1
sanitation awareness education,Community / Users,high,matched 'awareness',1
sanitation awareness gap,Community / Users,high,matched 'awareness',1
sanitation budget,Govt / External Finance,high,matched 'budget',1
sanitation budget allocation,Govt / External Finance,high,matched 'budget',1
sanitation care,Service Performance,low,token-overlap fallback (10),1
sanitation compliance in building permits,Laws + Regulations,high,matched 'compliance',1
sanitation compliance in new constructions,Infrastructure,high,'construction' over 'compliance',1
sanitation compliance in service sectors,Laws + Regulations,high,matched 'compliance',1
sanitation component in projects,Service Performance,low,token-overlap fallback (10),1
sanitation coverage,Service Performance,high,matched 'sanitation coverage',1
sanitation department community mobilization,Capacity Building,high,'community mobiliz' over 'community',1
sanitation department cooperation with NGOs,Coordination,high,matched 'cooperation',1
sanitation department coordination of relevant actors,Coordination,high,matched 'coordinat',1
sanitation enterprise service coverage,Service Performance,high,'service coverage' over 'enterprise',1
sanitation executive oversight body,Monitoring,high,matched 'oversight',1
sanitation facilities,Infrastructure,high,matched 'facilities',1
sanitation facility availability,Infrastructure,high,matched 'facility',1
sanitation facility maintenance,O&M,high,'maintenance' over 'facility',1
sanitation goals achievement,Service Performance,low,token-overlap fallback (10),1
sanitation hazard,Service Performance,low,token-overlap fallback (10),1
sanitation infrastructure budget allocation,Infrastructure,high,'infrastructure' over 'budget',1
sanitation infrastructure in schools and health centers,Infrastructure,high,'infrastructure' over 'health',1
sanitation infrastructure utilization,Infrastructure,high,matched 'infrastructure',1
sanitation integration in city infrastructure planning,Infrastructure,high,'infrastructure' over 'integration',1
sanitation kit provision,Service Performance,low,token-overlap fallback (10),1
sanitation maintenance practices,O&M,high,matched 'maintenance',1
